Dataset,Chemical,CAS,KE1_call,KE2_call,KE3_call,LLNA_call,pattern,n_pos,concordant,misclassified
SkinSensDB,"7,12-  Dimethylbenz[alpha]anthracene",57-97-6,0,1,1,1,011,2,False,1
SkinSensDB,Bis(2-ethylhexyl) fumarate,141-05-9,1,1,1,1,111,3,True,0
SkinSensDB,"2,2-Bis-[4-(2-hydroxy-3-methacryloxypropoxy)phenyl)]-propane (Bis-GMA)",1565-94-2,1,1,1,1,111,3,True,0
SkinSensDB,aminophenol,123-30-8,1,1,1,1,111,3,True,0
SkinSensDB,3-Methyl-1-phenylpyrazolone,89-25-8,1,1,1,1,111,3,True,0
SkinSensDB,"2,2,6,6-TetramethyI-3,5-heptanedione",1118-71-4,0,0,1,1,001,1,False,1
SkinSensDB,4-Amino-3-methylphenol,2835-99-6,1,1,1,1,111,3,True,0
SkinSensDB,"4-(N-Ethyl-N-2-methan-sulfamido-ethyl)-2-methyl-1,4,-phenylenediamine",25646-71-3,1,1,1,1,111,3,True,0
SkinSensDB,Cyclamen aldehyde,103-95-7,1,1,1,1,111,3,True,0
SkinSensDB,4-phenyl-3-buten-2-one,122-57-6,1,1,1,1,111,3,True,0
SkinSensDB,"2,3-Butandione",431-03-8,1,1,1,1,111,3,True,0
SkinSensDB,Farnesal,502-67-0or19317-11-4,1,1,1,1,111,3,True,0
SkinSensDB,4-ChIoroaniIine,106-47-8,0,1,1,1,011,2,False,1
SkinSensDB,BGE,2426-08-6,1,1,1,1,111,3,True,0
SkinSensDB,Pyridine,110-86-1,0,0,0,1,000,0,True,1
SkinSensDB,"1 ,2-BenzisothiazoIin-3-one",2634-33-5,1,1,1,1,111,3,True,0
SkinSensDB,Aniline,62-53-3,1,1,1,1,111,3,True,0
SkinSensDB,"1,3-Bis-(2,4-diaminophenoxy)propane 4 HCl (tetrahydrochloride)",74918-21-1,1,1,1,1,111,3,True,0
SkinSensDB,3-Methylcatechol,488-17-5,1,1,1,1,111,3,True,0
SkinSensDB,TMTD,137-26-8,1,1,1,1,111,3,True,0
SkinSensDB,cis-6-Nonenal,2277-19-2,0,1,1,1,011,2,False,1
SkinSensDB,Formaldehyde,50-00-0,1,1,1,1,111,3,True,0
SkinSensDB,Bisphenol A diglycidyl ether,1675-54-3,1,1,1,1,111,3,True,0
SkinSensDB,Diethylenetriamine,111-40-0,1,0,0,1,100,1,False,1
SkinSensDB,Triethanolamine,102-71-6,0,0,1,1,001,1,False,1
SkinSensDB,10-Undecenal,112-45-8,1,1,1,1,111,3,True,0
SkinSensDB,Nonanoyl chloride,764-85-2,1,0,1,1,101,2,False,1
SkinSensDB,Squaric acid,2892-51-5,1,0,1,1,101,2,False,1
SkinSensDB,2-Phenoxyethanol,122-99-6,1,0,0,1,100,1,False,1
SkinSensDB,Benzoyl peroxide,94-36-0,1,1,1,1,111,3,True,0
SkinSensDB,Dimethyl fumarate,624-49-7,1,1,1,1,111,3,True,0
SkinSensDB,Benzyl bromide,100-39-0,1,1,1,1,111,3,True,0
SkinSensDB,Propyl gallate,121-79-9,1,1,1,1,111,3,True,0
SkinSensDB,Pentachlorophenol,87-86-5,1,0,1,1,101,2,False,1
SkinSensDB,Glyoxal,107-22-2,1,1,1,1,111,3,True,0
SkinSensDB,Nonanoic acid,112-05-0,0,0,1,1,001,1,False,1
SkinSensDB,Salicylic acid,69-72-7,1,0,0,1,100,1,False,1
SkinSensDB,Chlorothalonil,1897-45-6,1,1,1,1,111,3,True,0
SkinSensDB,DPCP,886-38-4,1,1,1,1,111,3,True,0
SkinSensDB,"2,4-Dinitrofluorobenzene",70-34-8,1,1,1,1,111,3,True,0
SkinSensDB,4-Nitrobenzyl bromide,100-11-8,1,1,1,1,111,3,True,0
SkinSensDB,Zinc sulfate,7733-02-0,0,1,1,1,011,2,False,1
SkinSensDB,n- heptyl b-d-thioglucopyranoside,85618-20-8,0,0,1,1,001,1,False,1
SkinSensDB,Glutaraldehyde,111-30-8,1,1,1,1,111,3,True,0
SkinSensDB,Diethyl toluamide,134-62-3,1,0,1,1,101,2,False,1
SkinSensDB,Potassium dichromate,7778-50-9,1,1,1,1,111,3,True,0
SkinSensDB,2-Methylundecanal,110-41-8,1,1,1,1,111,3,True,0
SkinSensDB,Cobalt (II) chloride,7646-79-9,1,1,1,1,111,3,True,0
SkinSensDB,Phenyl benzoate,93-99-2,1,0,1,1,101,2,False,1
SkinSensDB,"2,4-Diaminophenoxyethanol dihydrochlorid",66422-95-5,1,1,1,1,111,3,True,0
SkinSensDB,Methyl methanesulfonate,66-27-3,1,1,1,1,111,3,True,0
SkinSensDB,"3,3,5-trimethylhexanoyl chloride",36727-29-4,1,0,1,1,101,2,False,1
SkinSensDB,2-Methyl-5-hydroxyethylaminophenol,55302-96-0,1,1,1,1,111,3,True,0
SkinSensDB,DMSO,67-68-5,0,0,0,1,000,0,True,1
SkinSensDB,(5-chloro)-methyl-isothiazolinone,26172-55-4,1,1,1,1,111,3,True,0
SkinSensDB,Xylene,1330-20-7,0,0,0,1,000,0,True,1
SkinSensDB,"1,2 dibromo 2,4 dicyanobutane",35691-65-7,1,1,1,1,111,3,True,0
SkinSensDB,"1 ,4-Dihydroquinone",123-31-9,1,1,1,1,111,3,True,0
SkinSensDB,Nickel chloride,7718-54-9,1,1,1,1,111,3,True,0
SkinSensDB,1 -Naphthol,90-15-3,1,1,1,1,111,3,True,0
SkinSensDB,SDS,151-21-3,1,1,1,1,111,3,True,0
SkinSensDB,"1-Phenyl-1 ,2-propanedione",579-07-7,1,1,1,1,111,3,True,0
SkinSensDB,3-Amino-2-methylamino-6-methoxypyridin x HCl,83732-72-3,1,1,1,1,111,3,True,0
SkinSensDB,"1-Chloro-2,4-dinitrobenzene",97-00-7,1,1,1,1,111,3,True,0
SkinSensDB,2-Methyl-2H-Isothiazol-3-one,2682-20-4,1,1,1,1,111,3,True,0
SkinSensDB,"1,2-Cyclohexane dicarboxylic anhydride",85-42-7,1,0,0,1,100,1,False,1
SkinSensDB,OA66,,0,1,1,1,011,2,False,1
SkinSensDB,OA65,,0,1,1,1,011,2,False,1
SkinSensDB,OA59,,1,1,1,1,111,3,True,0
SkinSensDB,OA63,,1,1,1,1,111,3,True,0
SkinSensDB,OA57,,1,1,1,1,111,3,True,0
SkinSensDB,OA56,,1,1,1,1,111,3,True,0
SkinSensDB,OA53,,1,1,1,1,111,3,True,0
SkinSensDB,OA48,,1,0,1,1,101,2,False,1
SkinSensDB,OA47,,1,1,1,1,111,3,True,0
SkinSensDB,OA45,,1,1,1,1,111,3,True,0
SkinSensDB,OA44,,1,1,1,1,111,3,True,0
SkinSensDB,OA64,,1,1,1,1,111,3,True,0
SkinSensDB,OA34,,1,1,1,1,111,3,True,0
SkinSensDB,OA35,,0,0,0,1,000,0,True,1
SkinSensDB,OA33,,0,1,1,1,011,2,False,1
